Method,Model,FN (avg),FP (avg),FN (R0),FP (R0),FN (R1),FP (R1),FN (R2),FP (R2),FN (R3),FP (R3),FN (R4),FP (R4)
FastTreeGTR,Gamma/1000M1,0.0546546546546546,0.05266827973952076,0.0455455455455455,0.0450676014021031,0.051051051051051,0.0481927710843373,0.0545545545545545,0.0526579739217652,0.0485485485485485,0.0466399197592778,0.0735735735735735,0.0707831325301204
FastTreeJC,Gamma/1000M1,0.06426426426426421,0.06229873298021692,0.053053053053053,0.0525788683024536,0.056056056056056,0.0532128514056224,0.063063063063063,0.0611835506519558,0.0615615615615615,0.059679037111334,0.0875875875875875,0.0848393574297188
NeighborJoinGM,Gamma/1000M1,0.45485485485485483,0.45370447903772293,0.4564564564564564,0.4561842764146219,0.4409409409409409,0.4392570281124498,0.4549549549549549,0.4538615847542628,0.4584584584584584,0.4573721163490471,0.4634634634634634,0.4618473895582329
NeighborJoinHam,Gamma/1000M1,0.45485485485485483,0.45370447903772293,0.4564564564564564,0.4561842764146219,0.4409409409409409,0.4392570281124498,0.4549549549549549,0.4538615847542628,0.4584584584584584,0.4573721163490471,0.4634634634634634,0.4618473895582329
NeighborJoinJC,Gamma/1000M1,0.45485485485485483,0.45370447903772293,0.4564564564564564,0.4561842764146219,0.4409409409409409,0.4392570281124498,0.4549549549549549,0.4538615847542628,0.4584584584584584,0.4573721163490471,0.4634634634634634,0.4618473895582329
FastTreeGTR,Gamma/1000M4,0.037037037037037,0.02285699760504046,0.0425425425425425,0.0294266869609335,0.0285285285285285,0.0182094081942336,0.038038038038038,0.0213849287169042,0.0415415415415415,0.0249490835030549,0.0345345345345345,0.0203148806500761
FastTreeJC,Gamma/1000M4,0.0403403403403403,0.02620856350379346,0.046046046046046,0.0329781836631151,0.0325325325325325,0.0222559433485078,0.041041041041041,0.0244399185336048,0.0455455455455455,0.0290224032586558,0.0365365365365365,0.0223463687150838
NeighborJoinGM,Gamma/1000M4,0.28938938938938935,0.27887412470077355,0.3113113113113113,0.3018772196854388,0.2932932932932933,0.285786545270612,0.2317317317317317,0.2184317718940936,0.2752752752752753,0.2627291242362525,0.3353353353353353,0.3255459624174708
NeighborJoinHam,Gamma/1000M4,0.28938938938938935,0.27887412470077355,0.3113113113113113,0.3018772196854388,0.2932932932932933,0.285786545270612,0.2317317317317317,0.2184317718940936,0.2752752752752753,0.2627291242362525,0.3353353353353353,0.3255459624174708
NeighborJoinJC,Gamma/1000M4,0.28938938938938935,0.27887412470077355,0.3113113113113113,0.3018772196854388,0.2932932932932933,0.285786545270612,0.2317317317317317,0.2184317718940936,0.2752752752752753,0.2627291242362525,0.3353353353353353,0.3255459624174708
